"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.772720125E0,2.284068614E-6,-3.050885266E-3,2.578446686E-2,2.596433395E-2
2.782730125E0,-3.746831836E-3,-1.542244242E-3,1.485952914E-2,1.540204117E-2
2.792740125E0,-7.810354354E-3,-8.388287667E-3,2.069738925E-2,2.365897138E-2
2.802750125E0,-2.787815379E-3,-1.259690793E-2,1.800240755E-2,2.214815301E-2
2.812760125E0,8.909786213E-4,7.743266691E-4,1.979925692E-2,1.983441452E-2
2.822769125E0,-3.667273158E-3,-5.061797546E-3,1.381287754E-2,1.516134139E-2
2.832779125E0,1.156771118E-3,-2.970961137E-3,1.890287876E-2,1.916986059E-2
2.842789125E0,-9.670381062E-4,-3.257264569E-3,1.426194370E-2,1.466110409E-2
2.852799125E0,-6.121422658E-3,4.816415487E-4,1.546179235E-2,1.663643040E-2
2.862809125E0,-7.726730034E-4,-1.474868786E-3,1.441338658E-2,1.450923755E-2
2.872818125E0,2.320522349E-4,-4.055788661E-3,1.606054723E-2,1.656636494E-2
2.882828125E0,-3.966961233E-3,1.593457628E-4,1.516358435E-2,1.567470774E-2
2.892838125E0,1.179547850E-3,-7.647824599E-3,1.381521642E-2,1.583479583E-2
2.902848125E0,2.372909747E-3,-5.926628150E-3,1.725864172E-2,1.840153080E-2
2.912858125E0,5.400433559E-3,-1.879162635E-3,1.980451941E-2,2.061346463E-2
2.922868125E0,5.733569534E-3,-3.788401885E-3,6.929535270E-3,9.759316959E-3
